batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
Iteration,Alice-Bob/Loss,EveLoss,EveIncorrect,Alice/Bob-Incorrect,RunNumber
0,6.65294,0.499981,0.499981,0.500005,8
100,6.65228,0.500075,0.500075,0.499953,8
200,6.65402,0.499877,0.499877,0.500102,8
300,6.65195,0.500327,0.500327,0.499716,8
400,6.65237,0.499969,0.499969,0.500029,8
500,6.6504,0.500295,0.500295,0.499689,8
600,6.65173,0.500358,0.500358,0.499609,8
700,6.65268,0.499847,0.499847,0.500178,8
800,6.65203,0.500136,0.500136,0.499849,8
900,6.65303,0.499627,0.499627,0.500464,8
1000,6.65192,0.500274,0.500274,0.49965,8
1100,6.65098,0.500599,0.500599,0.498924,8
1200,6.65158,0.500234,0.500234,0.499239,8
1300,6.65162,0.499854,0.499854,0.499099,8
1400,6.64656,0.500258,0.500258,0.494672,8
1500,6.64645,0.499998,0.499998,0.494147,8
1600,6.64534,0.499853,0.499853,0.492721,8
1700,6.64125,0.499888,0.499888,0.488743,8
1800,6.64006,0.499023,0.499023,0.486067,8
1900,6.63896,0.498104,0.498104,0.483565,8
2000,6.63665,0.497282,0.497282,0.479856,8
2100,6.63675,0.495983,0.495983,0.477859,8
2200,6.63367,0.495186,0.495186,0.473429,8
2300,6.63117,0.493766,0.493766,0.468607,8
2400,6.62428,0.493332,0.493332,0.460999,8
2500,6.62074,0.491539,0.491539,0.454499,8
2600,6.6178,0.489522,0.489522,0.448297,8
2700,6.61021,0.488173,0.488173,0.43849,8
2800,6.60373,0.486566,0.486566,0.429332,8
2900,6.6017,0.483582,0.483582,0.422382,8
3000,6.59282,0.481947,0.481947,0.410865,8
3100,6.58718,0.479128,0.479128,0.400501,8
3200,6.58207,0.475742,0.475742,0.389906,8
3300,6.57248,0.472282,0.472282,0.374521,8
3400,6.55882,0.470201,0.470201,0.357575,8
3500,6.54608,0.465869,0.465869,0.33756,8
3600,6.53263,0.461645,0.461645,0.317206,8
3700,6.51559,0.458106,0.458106,0.294398,8
3800,6.49559,0.455538,0.455538,0.270041,8
3900,6.4791,0.451204,0.451204,0.246461,8
4000,6.46328,0.447831,0.447831,0.225082,8
4100,6.44722,0.444194,0.444194,0.202891,8
4200,6.43205,0.442326,0.442326,0.184673,8
4300,6.41597,0.439794,0.439794,0.164498,8
4400,6.40086,0.438274,0.438274,0.146822,8
4500,6.38502,0.437221,0.437221,0.129121,8
4600,6.36689,0.436398,0.436398,0.109779,8
4700,6.35236,0.434441,0.434441,0.0919889,8
4800,6.33905,0.433991,0.433991,0.0780536,8
4900,6.32769,0.433773,0.433773,0.0662843,8
5000,6.32177,0.433365,0.433365,0.0596102,8
5100,6.31467,0.43342,0.43342,0.0524902,8
5200,6.31172,0.432547,0.432547,0.0480574,8
