batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25789,0.500006,0.500006,0.500077
100,2.25801,0.500003,0.500003,0.500195
200,2.25787,0.50001,0.50001,0.500067
300,2.25782,0.500001,0.500001,0.500005
400,2.2579,0.500064,0.500064,0.500113
500,2.25786,0.50002,0.50002,0.500059
600,2.2581,0.500169,0.500169,0.500365
700,2.25786,0.500028,0.500028,0.500058
800,2.25758,0.499867,0.499867,0.49971
900,2.25782,0.500005,0.500005,0.500011
1000,2.25767,0.499928,0.499928,0.499828
1100,2.25799,0.500093,0.500093,0.500222
1200,2.25798,0.500087,0.500087,0.500213
1300,2.25772,0.499927,0.499927,0.499878
1400,2.25779,0.499991,0.499991,0.499977
1500,2.25748,0.499882,0.499882,0.499611
1600,2.25776,0.499962,0.499962,0.49993
1700,2.25755,0.500064,0.500064,0.499767
1800,2.25388,0.499077,0.499077,0.495639
1900,2.24909,0.497628,0.497628,0.490167
2000,2.24153,0.495346,0.495346,0.481536
2100,2.23133,0.491767,0.491767,0.469656
2200,2.2224,0.488161,0.488161,0.459029
2300,2.21293,0.483286,0.483286,0.447279
2400,2.20513,0.480288,0.480288,0.438067
2500,2.19817,0.477777,0.477777,0.429924
2600,2.19134,0.475163,0.475163,0.421865
2700,2.18323,0.471271,0.471271,0.411928
2800,2.17578,0.467179,0.467179,0.402545
2900,2.16862,0.463215,0.463215,0.393526
3000,2.16225,0.459857,0.459857,0.385569
3100,2.15754,0.45754,0.45754,0.379769
3200,2.15083,0.453352,0.453352,0.371084
3300,2.14736,0.45221,0.45221,0.367076
3400,2.14169,0.448035,0.448035,0.359433
3500,2.136,0.444392,0.444392,0.352024
3600,2.13359,0.443142,0.443142,0.349027
3700,2.12998,0.44051,0.44051,0.344168
3800,2.12599,0.438028,0.438028,0.339013
3900,2.12034,0.433825,0.433825,0.331369
4000,2.11761,0.431746,0.431746,0.327655
4100,2.1152,0.430465,0.430465,0.324646
4200,2.10956,0.425848,0.425848,0.316812
4300,2.10655,0.424021,0.424021,0.312941
4400,2.10469,0.422629,0.422629,0.310419
4500,2.10004,0.418758,0.418758,0.303942
4600,2.09708,0.416137,0.416137,0.299735
4700,2.09461,0.413942,0.413942,0.296224
4800,2.09178,0.411012,0.411012,0.292006
4900,2.08877,0.408828,0.408828,0.287959
5000,2.08401,0.404698,0.404698,0.281236
5100,2.07805,0.399787,0.399787,0.272949
5200,2.07025,0.395609,0.395609,0.26316
5300,2.06374,0.390367,0.390367,0.254165
5400,2.05389,0.384282,0.384282,0.241418
5500,2.04473,0.379076,0.379076,0.229779
5600,2.03461,0.372888,0.372888,0.216707
5700,2.02196,0.363776,0.363776,0.199708
5800,2.01144,0.358301,0.358301,0.186581
5900,1.99908,0.349673,0.349673,0.170092
6000,1.98774,0.34184,0.34184,0.155012
6100,1.9771,0.333378,0.333378,0.140316
6200,1.96615,0.325219,0.325219,0.125453
6300,1.95549,0.316647,0.316647,0.11068
6400,1.94619,0.309627,0.309627,0.0980062
6500,1.93604,0.303043,0.303043,0.0846931
6600,1.92554,0.29711,0.29711,0.0713372
6700,1.91562,0.292836,0.292836,0.0593556
6800,1.90638,0.289228,0.289228,0.0483791
6900,1.89799,0.286778,0.286778,0.038811
7000,1.89198,0.28423,0.28423,0.0315739
7100,1.88805,0.282276,0.282276,0.0266963
7200,1.88454,0.280805,0.280805,0.0224823
7300,1.88226,0.279416,0.279416,0.0195268
7400,1.88051,0.278177,0.278177,0.0171804
7500,1.87838,0.278185,0.278185,0.0150536
7600,1.87711,0.277659,0.277659,0.0135295
7700,1.87616,0.276582,0.276582,0.0120629
7800,1.87516,0.276121,0.276121,0.0108372
7900,1.87437,0.275895,0.275895,0.00994201
8000,1.87313,0.276901,0.276901,0.00917995
8100,1.87264,0.276278,0.276278,0.00838878
8200,1.87228,0.276138,0.276138,0.00796326
8300,1.87148,0.276315,0.276315,0.00725119
8400,1.87131,0.275384,0.275384,0.00662901
8500,1.87106,0.27502,0.27502,0.00620988
8600,1.87048,0.275455,0.275455,0.00583785
8700,1.86981,0.276233,0.276233,0.00554608
8800,1.87016,0.274773,0.274773,0.00518411
8900,1.86987,0.274644,0.274644,0.0048357
9000,1.86963,0.274754,0.274754,0.00464812
9100,1.86839,0.276818,0.276818,0.00440908
9200,1.86867,0.275608,0.275608,0.00409835
9300,1.86834,0.275954,0.275954,0.00394044
9400,1.86821,0.275833,0.275833,0.0037497
9500,1.86798,0.275861,0.275861,0.00353667
9600,1.86782,0.275904,0.275904,0.00338908
9700,1.86784,0.275469,0.275469,0.00320213
9800,1.86753,0.275947,0.275947,0.00312074
9900,1.86729,0.276029,0.276029,0.00292583
