batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-100000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25827,0.499494,0.499494,0.500219
100,2.25755,0.500267,0.500267,0.49986
200,2.25745,0.500389,0.500389,0.49982
300,2.2577,0.500092,0.500092,0.49993
400,2.2579,0.499943,0.499943,0.500058
500,2.25834,0.499649,0.499649,0.500363
600,2.25802,0.499865,0.499865,0.500147
700,2.25756,0.500147,0.500147,0.499816
800,2.25757,0.500118,0.500118,0.499808
900,2.25819,0.499804,0.499804,0.500285
1000,2.25811,0.499865,0.499865,0.500232
1100,2.25756,0.500121,0.500121,0.499805
1200,2.25797,0.499947,0.499947,0.500134
1300,2.25832,0.499767,0.499767,0.500399
1400,2.2579,0.49996,0.49996,0.500068
1500,2.25762,0.500107,0.500107,0.499852
1600,2.25776,0.50004,0.50004,0.499968
1700,2.25752,0.500246,0.500246,0.499822
1800,2.25796,0.499866,0.499866,0.50008
1900,2.25767,0.500131,0.500131,0.499919
2000,2.2579,0.49993,0.49993,0.500052
2100,2.25759,0.500164,0.500164,0.499852
2200,2.2577,0.50007,0.50007,0.499919
2300,2.25764,0.500106,0.500106,0.499875
2400,2.25794,0.499879,0.499879,0.500073
2500,2.25777,0.499497,0.499497,0.499722
2600,2.25572,0.49806,0.49806,0.496993
2700,2.24944,0.494714,0.494714,0.48915
2800,2.23624,0.489276,0.489276,0.473401
2900,2.21804,0.481656,0.481656,0.451615
3000,2.1943,0.471509,0.471509,0.423108
3100,2.16886,0.458625,0.458625,0.391595
3200,2.14152,0.443414,0.443414,0.357078
3300,2.11278,0.426853,0.426853,0.320511
3400,2.0832,0.408788,0.408788,0.282376
3500,2.05339,0.389379,0.389379,0.24334
3600,2.02693,0.370076,0.370076,0.207687
3700,2.00488,0.351144,0.351144,0.176602
3800,1.98739,0.332271,0.332271,0.150073
3900,1.97168,0.313569,0.313569,0.125392
4000,1.95998,0.297248,0.297248,0.105847
4100,1.95088,0.280853,0.280853,0.0888453
4200,1.94447,0.266083,0.266083,0.0753012
4300,1.94004,0.251545,0.251545,0.0638384
4400,1.93698,0.239245,0.239245,0.0548096
4500,1.93367,0.228878,0.228878,0.0464682
4600,1.93295,0.218125,0.218125,0.0405228
4700,1.93197,0.209563,0.209563,0.0353777
4800,1.93136,0.202737,0.202737,0.0314393
4900,1.93177,0.194816,0.194816,0.0279881
5000,1.93141,0.189291,0.189291,0.0249359
5100,1.93098,0.183883,0.183883,0.0218625
5200,1.93106,0.179695,0.179695,0.0198999
5300,1.93037,0.177668,0.177668,0.018216
5400,1.9306,0.173229,0.173229,0.0162723
5500,1.9305,0.170997,0.170997,0.0150815
5600,1.93014,0.168731,0.168731,0.0136133
5700,1.93032,0.166078,0.166078,0.0124946
5800,1.93017,0.164527,0.164527,0.0115829
5900,1.92981,0.163756,0.163756,0.010852
6000,1.92987,0.161979,0.161979,0.0100435
6100,1.92914,0.162038,0.162038,0.00934196
6200,1.92902,0.161455,0.161455,0.00893024
6300,1.9297,0.158281,0.158281,0.00805859
6400,1.92932,0.158148,0.158148,0.00761237
6500,1.92883,0.158223,0.158223,0.00716191
6600,1.92863,0.157902,0.157902,0.0068018
6700,1.92906,0.156195,0.156195,0.00639104
6800,1.92783,0.157874,0.157874,0.00598788
6900,1.92808,0.156742,0.156742,0.00568129
7000,1.92837,0.155622,0.155622,0.00542742
7100,1.9283,0.155253,0.155253,0.00517123
7200,1.92785,0.155711,0.155711,0.00495006
7300,1.92752,0.155688,0.155688,0.00460526
7400,1.92713,0.155971,0.155971,0.00435152
7500,1.92712,0.155439,0.155439,0.00408752
7600,1.92702,0.155276,0.155276,0.0039003
7700,1.92766,0.15406,0.15406,0.00395165
7800,1.92671,0.155669,0.155669,0.00378374
7900,1.92692,0.154631,0.154631,0.00348425
8000,1.92646,0.155239,0.155239,0.00332892
8100,1.92665,0.154716,0.154716,0.00326188
8200,1.92603,0.155598,0.155598,0.00307074
8300,1.92642,0.154393,0.154393,0.00287611
8400,1.92626,0.15456,0.15456,0.00279633
8500,1.92611,0.154901,0.154901,0.00281117
8600,1.92569,0.155369,0.155369,0.00261616
8700,1.92579,0.155201,0.155201,0.00263669
8800,1.92587,0.154922,0.154922,0.00258037
8900,1.92612,0.154176,0.154176,0.00246533
9000,1.9256,0.154755,0.154755,0.00222598
9100,1.92518,0.155561,0.155561,0.00220269
9200,1.92468,0.156359,0.156359,0.00209981
9300,1.92519,0.155065,0.155065,0.00196861
9400,1.92532,0.154793,0.154793,0.0019657
9500,1.92517,0.154817,0.154817,0.00183456
9600,1.925,0.155132,0.155132,0.00181165
9700,1.92443,0.156129,0.156129,0.00173358
9800,1.92427,0.156417,0.156417,0.00171586
