batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-100000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
13300,1.87365,0.259061,0.259061,0.0010843
13400,1.87376,0.258777,0.258777,0.00105837
13500,1.87376,0.25868,0.25868,0.00100711
13600,1.8741,0.257923,0.257923,0.000978427
13700,1.87373,0.25869,0.25869,0.000987303
13800,1.87364,0.258713,0.258713,0.000901234
13900,1.87423,0.257507,0.257507,0.000909957
14000,1.87336,0.259151,0.259151,0.0008358
14100,1.87362,0.258554,0.258554,0.000811506
14200,1.87343,0.259071,0.259071,0.000866441
14300,1.87349,0.258759,0.258759,0.000772657
14400,1.87355,0.258595,0.258595,0.000754084
14500,1.87366,0.258279,0.258279,0.000713706
14600,1.87309,0.259413,0.259413,0.000695969
14700,1.87347,0.258561,0.258561,0.000663786
14800,1.87312,0.259245,0.259245,0.000639014
14900,1.87348,0.258456,0.258456,0.000624303
15000,1.87349,0.258386,0.258386,0.000600965
15100,1.87325,0.258844,0.258844,0.000583106
15200,1.87326,0.258778,0.258778,0.000558223
15300,1.87347,0.258426,0.258426,0.000592668
15400,1.87321,0.258838,0.258838,0.000532181
15500,1.87325,0.258707,0.258707,0.000511981
15600,1.87294,0.259323,0.259323,0.000497584
15700,1.8726,0.259977,0.259977,0.000473602
15800,1.87311,0.258906,0.258906,0.000471122
15900,1.8727,0.259731,0.259731,0.000453687
16000,1.87285,0.259358,0.259358,0.000427111
16100,1.87275,0.259541,0.259541,0.000412063
16200,1.87242,0.260191,0.260191,0.00039833
16300,1.87274,0.259521,0.259521,0.000390938
16400,1.87307,0.2588,0.2588,0.000374518
16500,1.87283,0.25929,0.25929,0.000370829
16600,1.87287,0.259184,0.259184,0.000358259
16700,1.87252,0.259853,0.259853,0.000338623
16800,1.87225,0.260401,0.260401,0.000332561
16900,1.87257,0.259707,0.259707,0.000312338
17000,1.87247,0.259895,0.259895,0.000304859
17100,1.87279,0.259265,0.259265,0.00032226
17200,1.87255,0.259712,0.259712,0.000300774
17300,1.8728,0.259168,0.259168,0.000281936
17400,1.87259,0.259569,0.259569,0.000264616
17500,1.87262,0.259488,0.259488,0.0002616
17600,1.87264,0.259435,0.259435,0.000252049
17700,1.87194,0.26086,0.26086,0.000243192
17800,1.87237,0.259964,0.259964,0.00023966
17900,1.87221,0.260264,0.260264,0.000229662
18000,1.87207,0.260546,0.260546,0.000218105
18100,1.87237,0.259914,0.259914,0.000216113
18200,1.8724,0.259842,0.259842,0.000211071
18300,1.87209,0.260451,0.260451,0.000196996
18400,1.87254,0.259534,0.259534,0.000197456
18500,1.87261,0.259353,0.259353,0.000187135
18600,1.87237,0.259842,0.259842,0.000178361
18700,1.87254,0.259515,0.259515,0.000192527
18800,1.87273,0.259079,0.259079,0.000175328
18900,1.87222,0.260128,0.260128,0.00016477
19000,1.87255,0.259442,0.259442,0.000163281
19100,1.872,0.260548,0.260548,0.000155542
19200,1.87267,0.259166,0.259166,0.000150529
19300,1.87238,0.259757,0.259757,0.000152579
19400,1.87273,0.259029,0.259029,0.000152713
19500,1.87227,0.259956,0.259956,0.000137116
19600,1.87234,0.259808,0.259808,0.000130539
19700,1.87254,0.259398,0.259398,0.000132646
19800,1.87224,0.259997,0.259997,0.000127058
19900,1.87208,0.260323,0.260323,0.000126076
20000,1.87251,0.259408,0.259408,0.000115772
20100,1.87235,0.259745,0.259745,0.000117286
20200,1.87205,0.260354,0.260354,0.000108444
20300,1.87203,0.260388,0.260388,0.000105761
20400,1.87204,0.260364,0.260364,0.000102319
20500,1.87218,0.260077,0.260077,0.00010189
20600,1.87207,0.260288,0.260288,9.58999e-05
