batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
Iteration,Alice-Bob/Loss,EveLoss,EveIncorrect,Alice/Bob-Incorrect,RunNumber
0,2.2578,0.500021,0.500021,0.499996,5
100,2.25793,0.499854,0.499854,0.500054,5
200,2.25763,0.500203,0.500203,0.499917,5
300,2.25783,0.499969,0.499969,0.5,5
400,2.2578,0.500009,0.500009,0.499999,5
500,2.25782,0.49999,0.49999,0.500003,5
600,2.25749,0.500326,0.500326,0.499828,5
700,2.25775,0.50006,0.50006,0.499969,5
800,2.258,0.499782,0.499782,0.500085,5
900,2.25787,0.499937,0.499937,0.500026,5
1000,2.25812,0.499642,0.499642,0.500135,5
1100,2.25762,0.500236,0.500236,0.499915,5
1200,2.25797,0.499829,0.499829,0.500074,5
1300,2.25784,0.499979,0.499979,0.500012,5
1400,2.25764,0.500164,0.500164,0.499908,5
1500,2.25725,0.500509,0.500509,0.499682,5
1600,2.25718,0.500549,0.500549,0.499629,5
1700,2.25855,0.499338,0.499338,0.500432,5
1800,2.25768,0.500108,0.500108,0.499916,5
1900,2.25709,0.500635,0.500635,0.499579,5
2000,2.25797,0.499866,0.499866,0.500097,5
2100,2.25702,0.500679,0.500679,0.49952,5
2200,2.25711,0.500646,0.500646,0.499603,5
2300,2.25736,0.500437,0.500437,0.499748,5
2400,2.2573,0.500244,0.500244,0.499597,5
2500,2.25589,0.499995,0.499995,0.498073,5
2600,2.25476,0.499308,0.499308,0.496627,5
2700,2.25489,0.497758,0.497758,0.496027,5
2800,2.25192,0.498563,0.498563,0.493437,5
2900,2.25014,0.498558,0.498558,0.491649,5
3000,2.24813,0.498322,0.498322,0.489527,5
3100,2.24613,0.497998,0.497998,0.487381,5
3200,2.2447,0.496456,0.496456,0.485226,5
3300,2.23612,0.498735,0.498735,0.477716,5
3400,2.22623,0.497369,0.497369,0.467181,5
3500,2.21119,0.496683,0.496683,0.451826,5
3600,2.19078,0.497126,0.497126,0.431619,5
3700,2.17075,0.496749,0.496749,0.411409,5
3800,2.14751,0.498127,0.498127,0.388818,5
3900,2.12313,0.497389,0.497389,0.364089,5
4000,2.10224,0.495226,0.495226,0.342187,5
4100,2.07835,0.494176,0.494176,0.317804,5
4200,2.05436,0.496767,0.496767,0.295035,5
4300,2.03454,0.493536,0.493536,0.273698,5
4400,2.01435,0.493622,0.493622,0.253549,5
4500,1.99562,0.490193,0.490193,0.233212,5
4600,1.97376,0.490022,0.490022,0.211269,5
4700,1.95575,0.48916,0.48916,0.192854,5
4800,1.94156,0.485268,0.485268,0.176831,5
4900,1.92871,0.483473,0.483473,0.16314,5
5000,1.9185,0.480038,0.480038,0.151322,5
5100,1.90632,0.479156,0.479156,0.138725,5
5200,1.89896,0.476507,0.476507,0.13012,5
5300,1.89236,0.473371,0.473371,0.122048,5
5400,1.88367,0.475644,0.475644,0.114423,5
5500,1.88081,0.469142,0.469142,0.108499,5
5600,1.87471,0.464417,0.464417,0.10018,5
5700,1.86803,0.461989,0.461989,0.0923527,5
5800,1.86495,0.456534,0.456534,0.0867066,5
5900,1.86135,0.451333,0.451333,0.0806483,5
6000,1.86267,0.443869,0.443869,0.0784468,5
6100,1.86254,0.438776,0.438776,0.0759112,5
6200,1.86399,0.430738,0.430738,0.0735644,5
6300,1.86401,0.42833,0.42833,0.0724415,5
6400,1.86444,0.424106,0.424106,0.0708725,5
6500,1.8551,0.417826,0.417826,0.0585556,5
6600,1.85848,0.408365,0.408365,0.0574559,5
6700,1.85741,0.406967,0.406967,0.0557213,5
6800,1.85732,0.401654,0.401654,0.0531067,5
6900,1.8576,0.401467,0.401467,0.0533001,5
7000,1.85681,0.40013,0.40013,0.0518759,5
7100,1.85736,0.400376,0.400376,0.0525347,5
7200,1.85916,0.396346,0.396346,0.0524273,5
7300,1.85735,0.395928,0.395928,0.0504187,5
7400,1.8595,0.394813,0.394813,0.0520371,5
7500,1.85768,0.396372,0.396372,0.0509582,5
7600,1.85706,0.39368,0.39368,0.0490555,5
7700,1.85756,0.394283,0.394283,0.0498486,5
7800,1.85793,0.39315,0.39315,0.049676,5
7900,1.85695,0.395147,0.395147,0.0496484,5
8000,1.85898,0.391212,0.391212,0.0498059,5
8100,1.8579,0.392514,0.392514,0.0493439,5
8200,1.85729,0.392091,0.392091,0.0485317,5
8300,1.8576,0.394004,0.394004,0.049755,5
8400,1.858,0.392769,0.392769,0.0495593,5
8500,1.85716,0.392522,0.392522,0.0486022,5
8600,1.85727,0.392416,0.392416,0.0486675,5
8700,1.85722,0.391433,0.391433,0.0481532,5
8800,1.85756,0.392349,0.392349,0.0489261,5
8900,1.85605,0.392427,0.392427,0.0474471,5
9000,1.85749,0.391637,0.391637,0.0485202,5
9100,1.8565,0.393115,0.393115,0.0482298,5
9200,1.85789,0.390181,0.390181,0.0482184,5
9300,1.85712,0.390166,0.390166,0.0474484,5
9400,1.85749,0.389739,0.389739,0.047608,5
9500,1.85679,0.390581,0.390581,0.0473118,5
9600,1.85811,0.388539,0.388539,0.0476611,5
9700,1.8577,0.391149,0.391149,0.0484975,5
9800,1.85584,0.393115,0.393115,0.0475728,5
9900,1.85854,0.390499,0.390499,0.0490198,5
