batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
Iteration,Alice-Bob/Loss,EveLoss,EveIncorrect,Alice/Bob-Incorrect,RunNumber
0,2.2578,0.500015,0.500015,0.499999,5
100,2.25786,0.499936,0.499936,0.500022,5
200,2.25769,0.500101,0.500101,0.499928,5
300,2.25787,0.499952,0.499952,0.500033,5
400,2.25757,0.500215,0.500215,0.49986,5
500,2.25778,0.50002,0.50002,0.499981,5
600,2.25751,0.500209,0.500209,0.499795,5
700,2.2582,0.499735,0.499735,0.500259,5
800,2.2578,0.500009,0.500009,0.499992,5
900,2.25764,0.500164,0.500164,0.499904,5
1000,2.25833,0.49954,0.49954,0.500299,5
1100,2.25806,0.499768,0.499768,0.500143,5
1200,2.25786,0.499956,0.499956,0.500031,5
1300,2.25745,0.500309,0.500309,0.499779,5
1400,2.25778,0.500024,0.500024,0.499983,5
1500,2.25777,0.500035,0.500035,0.499977,5
1600,2.25805,0.499803,0.499803,0.50015,5
1700,2.25795,0.499861,0.499861,0.500077,5
1800,2.25806,0.499765,0.499765,0.500143,5
1900,2.25727,0.499784,0.499784,0.499355,5
2000,2.25227,0.499383,0.499383,0.494169,5
2100,2.24345,0.49794,0.49794,0.484677,5
2200,2.23462,0.494238,0.494238,0.474101,5
2300,2.22298,0.49166,0.49166,0.461251,5
2400,2.20743,0.490006,0.490006,0.444931,5
2500,2.1938,0.486851,0.486851,0.429822,5
2600,2.18041,0.48265,0.48265,0.414453,5
2700,2.16554,0.47913,0.47913,0.397929,5
2800,2.15212,0.474338,0.474338,0.382261,5
2900,2.13657,0.470436,0.470436,0.364873,5
3000,2.12157,0.466386,0.466386,0.347963,5
3100,2.10778,0.461602,0.461602,0.331925,5
3200,2.09342,0.456131,0.456131,0.31498,5
3300,2.08073,0.448821,0.448821,0.298846,5
3400,2.07043,0.441248,0.441248,0.284966,5
3500,2.05809,0.432775,0.432775,0.268627,5
3600,2.04617,0.423182,0.423182,0.252163,5
3700,2.03917,0.409892,0.409892,0.238869,5
3800,2.03043,0.39876,0.39876,0.224846,5
3900,2.02251,0.384716,0.384716,0.210247,5
4000,2.01459,0.370704,0.370704,0.195646,5
4100,2.00571,0.359749,0.359749,0.181544,5
4200,1.9976,0.343882,0.343882,0.165849,5
4300,1.99081,0.332325,0.332325,0.153517,5
4400,1.9839,0.318762,0.318762,0.140102,5
4500,1.97844,0.30425,0.30425,0.127676,5
4600,1.97491,0.290115,0.290115,0.117339,5
4700,1.97143,0.276255,0.276255,0.107177,5
4800,1.96937,0.263175,0.263175,0.0987916,5
4900,1.96574,0.252705,0.252705,0.090098,5
5000,1.96402,0.24042,0.24042,0.0824224,5
5100,1.96258,0.229723,0.229723,0.0757919,5
5200,1.96122,0.221002,0.221002,0.0701919,5
5300,1.96018,0.211622,0.211622,0.0645954,5
5400,1.9593,0.203598,0.203598,0.0597988,5
5500,1.95868,0.196865,0.196865,0.0558993,5
5600,1.95819,0.189418,0.189418,0.0517789,5
5700,1.95767,0.183143,0.183143,0.048191,5
5800,1.95765,0.17788,0.17788,0.0455986,5
5900,1.95796,0.17074,0.17074,0.0424224,5
6000,1.95707,0.166396,0.166396,0.0394,5
6100,1.95676,0.163127,0.163127,0.0374924,5
6200,1.95606,0.158581,0.158581,0.0345691,5
6300,1.95623,0.155027,0.155027,0.0329972,5
6400,1.95598,0.150784,0.150784,0.0306608,5
6500,1.95513,0.148338,0.148338,0.0286159,5
6600,1.95545,0.145139,0.145139,0.0273658,5
6700,1.95526,0.14207,0.14207,0.0256681,5
6800,1.95516,0.139696,0.139696,0.0244001,5
6900,1.95473,0.137818,0.137818,0.0230437,5
7000,1.95389,0.136961,0.136961,0.021783,5
7100,1.9544,0.13344,0.13344,0.0205651,5
7200,1.95411,0.132611,0.132611,0.0198673,5
7300,1.95396,0.130564,0.130564,0.0187108,5
7400,1.95389,0.129197,0.129197,0.0179718,5
7500,1.95379,0.127295,0.127295,0.0169341,5
7600,1.95305,0.127139,0.127139,0.0161096,5
7700,1.95304,0.12604,0.12604,0.0155632,5
7800,1.95279,0.124482,0.124482,0.0145496,5
7900,1.95222,0.124662,0.124662,0.0140641,5
8000,1.95238,0.123007,0.123007,0.0134068,5
8100,1.95256,0.121429,0.121429,0.0128172,5
8200,1.95174,0.121672,0.121672,0.0121113,5
8300,1.95201,0.119979,0.119979,0.0115469,5
8400,1.9516,0.120226,0.120226,0.0112629,5
8500,1.95189,0.118974,0.118974,0.0109301,5
8600,1.95038,0.120735,0.120735,0.0102962,5
8700,1.95081,0.119408,0.119408,0.0100688,5
8800,1.95063,0.118626,0.118626,0.00950122,5
8900,1.95035,0.118721,0.118721,0.00926996,5
9000,1.94972,0.118906,0.118906,0.0087334,5
9100,1.9502,0.117447,0.117447,0.00849034,5
9200,1.94966,0.117773,0.117773,0.00811438,5
9300,1.94946,0.117546,0.117546,0.00780262,5
9400,1.94911,0.117698,0.117698,0.0075282,5
9500,1.94954,0.11615,0.11615,0.00719298,5
9600,1.94903,0.116868,0.116868,0.0070337,5
9700,1.94908,0.11619,0.11619,0.00675437,5
9800,1.94865,0.116436,0.116436,0.00644732,5
9900,1.94857,0.116422,0.116422,0.00635384,5
