batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
Iteration,Alice-Bob/Loss,EveLoss,EveIncorrect,Alice/Bob-Incorrect,RunNumber
0,2.25797,0.499947,0.499947,0.500046,6
100,2.25781,0.500017,0.500017,0.500002,6
200,2.25779,0.499995,0.499995,0.499973,6
300,2.2577,0.500022,0.500022,0.499995,6
400,2.25782,0.500027,0.500027,0.500003,6
500,2.25765,0.50004,0.50004,0.500056,6
600,2.25775,0.499947,0.499947,0.499926,6
700,2.25784,0.500028,0.500028,0.500029,6
800,2.25778,0.499959,0.499959,0.499969,6
900,2.25777,0.499985,0.499985,0.499958,6
1000,2.25781,0.500001,0.500001,0.500003,6
1100,2.25781,0.500001,0.500001,0.500002,6
1200,2.25773,0.500006,0.500006,0.500003,6
1300,2.25781,0.500024,0.500024,0.499997,6
1400,2.25779,0.500031,0.500031,0.499982,6
1500,2.25782,0.499987,0.499987,0.500003,6
1600,2.25781,0.500006,0.500006,0.5,6
1700,2.25781,0.499953,0.499953,0.499993,6
1800,2.25792,0.49988,0.49988,0.500091,6
1900,2.2578,0.500018,0.500018,0.499984,6
2000,2.25782,0.500001,0.500001,0.500011,6
2100,2.25782,0.499996,0.499996,0.500009,6
2200,2.25776,0.500072,0.500072,0.499978,6
2300,2.25753,0.500094,0.500094,0.499943,6
2400,2.25778,0.499995,0.499995,0.499909,6
2500,2.25632,0.499584,0.499584,0.498314,6
2600,2.25315,0.497075,0.497075,0.493961,6
2700,2.2479,0.493532,0.493532,0.487056,6
2800,2.24135,0.489551,0.489551,0.478639,6
2900,2.23289,0.484816,0.484816,0.467958,6
3000,2.2227,0.479321,0.479321,0.455181,6
3100,2.21168,0.472578,0.472578,0.440998,6
3200,2.19817,0.465057,0.465057,0.423935,6
3300,2.18054,0.45675,0.45675,0.402394,6
3400,2.16718,0.446131,0.446131,0.384033,6
3500,2.15195,0.435953,0.435953,0.363981,6
3600,2.1336,0.42604,0.42604,0.340948,6
3700,2.12088,0.414957,0.414957,0.322983,6
3800,2.10634,0.402713,0.402713,0.302629,6
3900,2.09091,0.390735,0.390735,0.281502,6
4000,2.07457,0.378461,0.378461,0.259325,6
4100,2.05842,0.366621,0.366621,0.237528,6
4200,2.04168,0.353658,0.353658,0.214599,6
4300,2.02252,0.341407,0.341407,0.189579,6
4400,2.0058,0.32987,0.32987,0.167341,6
