batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
Iteration,Alice-Bob/Loss,EveLoss,EveIncorrect,Alice/Bob-Incorrect,RunNumber
0,2.25778,0.500118,0.500118,0.499996,7
100,2.25737,0.500091,0.500091,0.499994,7
200,2.25782,0.500154,0.500154,0.500049,7
300,2.25781,0.49999,0.49999,0.499996,7
400,2.25767,0.499907,0.499907,0.49983,7
500,2.25796,0.500362,0.500362,0.500296,7
600,2.25785,0.500056,0.500056,0.500039,7
700,2.25779,0.499935,0.499935,0.499977,7
800,2.25783,0.500036,0.500036,0.500022,7
900,2.2578,0.500031,0.500031,0.500011,7
1000,2.25778,0.499914,0.499914,0.499962,7
1100,2.25781,0.499998,0.499998,0.499999,7
1200,2.25786,0.499785,0.499785,0.499925,7
1300,2.2578,0.499899,0.499899,0.499961,7
1400,2.25812,0.499578,0.499578,0.499827,7
