batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25784,0.499905,0.499905,0.499979
100,2.25781,0.499851,0.499851,0.499923
200,2.25782,0.499951,0.499951,0.499986
300,2.2578,0.499975,0.499975,0.49998
400,2.25781,0.499979,0.499979,0.499983
500,2.2578,0.499933,0.499933,0.499955
600,2.25787,0.499754,0.499754,0.49994
700,2.25756,0.50037,0.50037,0.499918
800,2.25792,0.499794,0.499794,0.500014
900,2.25785,0.499938,0.499938,0.500012
1000,2.25791,0.499882,0.499882,0.50004
1100,2.25793,0.499761,0.499761,0.50001
1200,2.25791,0.49987,0.49987,0.500035
1300,2.25782,0.499992,0.499992,0.500004
1400,2.2581,0.499712,0.499712,0.500154
1500,2.25766,0.500153,0.500153,0.499918
1600,2.25762,0.500167,0.500167,0.499889
1700,2.25787,0.499959,0.499959,0.500037
1800,2.25769,0.500094,0.500094,0.499925
1900,2.25779,0.500014,0.500014,0.499987
2000,2.25854,0.499471,0.499471,0.50048
2100,2.25724,0.500464,0.500464,0.499649
2200,2.25817,0.499761,0.499761,0.500245
2300,2.25781,0.500003,0.500003,0.499996
2400,2.25794,0.499882,0.499882,0.500077
2500,2.2578,0.50002,0.50002,0.499998
2600,2.25781,0.499979,0.499979,0.49999
2700,2.25779,0.5,0.5,0.499976
2800,2.25759,0.50005,0.50005,0.499796
2900,2.25783,0.499994,0.499994,0.500016
3000,2.25797,0.499997,0.499997,0.500154
3100,2.25785,0.500016,0.500016,0.500046
3200,2.25776,0.499974,0.499974,0.499939
3300,2.25781,0.499987,0.499987,0.499994
3400,2.25781,0.499925,0.499925,0.499958
3500,2.25782,0.499925,0.499925,0.499972
3600,2.25788,0.499863,0.499863,0.499999
3700,2.25782,0.499967,0.499967,0.499996
3800,2.25793,0.49982,0.49982,0.500032
3900,2.25784,0.49997,0.49997,0.500016
4000,2.25785,0.499961,0.499961,0.500019
4100,2.25783,0.499975,0.499975,0.500008
4200,2.25769,0.500164,0.500164,0.499957
4300,2.25772,0.50014,0.50014,0.499968
4400,2.25792,0.499831,0.499831,0.500026
4500,2.25771,0.500165,0.500165,0.499973
4600,2.25788,0.499905,0.499905,0.500021
4700,2.25791,0.499866,0.499866,0.500031
4800,2.25768,0.500222,0.500222,0.499971
4900,2.25792,0.499788,0.499788,0.500012
5000,2.25781,0.499886,0.499886,0.499946
5100,2.25652,0.498934,0.498934,0.498208
5200,2.25232,0.495921,0.495921,0.4926
5300,2.24521,0.490963,0.490963,0.483156
5400,2.23524,0.484838,0.484838,0.470309
5500,2.22376,0.477613,0.477613,0.45544
5600,2.21177,0.470232,0.470232,0.439974
5700,2.19622,0.463973,0.463973,0.421479
5800,2.18021,0.457765,0.457765,0.402542
5900,2.16305,0.449898,0.449898,0.381678
6000,2.14323,0.443511,0.443511,0.358842
6100,2.12343,0.439867,0.439867,0.337316
6200,2.10541,0.432225,0.432225,0.315688
6300,2.08745,0.42749,0.42749,0.295487
6400,2.07031,0.422582,0.422582,0.276019
6500,2.05435,0.415659,0.415659,0.256778
6600,2.02827,0.411416,0.411416,0.228689
6700,2.01182,0.402893,0.402893,0.208191
6800,1.99509,0.393982,0.393982,0.187226
6900,1.97977,0.382197,0.382197,0.166303
7000,1.96363,0.374245,0.374245,0.146372
7100,1.94788,0.363688,0.363688,0.125592
7200,1.93545,0.352515,0.352515,0.107821
7300,1.9241,0.342444,0.342444,0.09166
7400,1.91364,0.335439,0.335439,0.0778415
7500,1.90537,0.325302,0.325302,0.0647155
7600,1.89732,0.319692,0.319692,0.0539728
7700,1.89193,0.314942,0.314942,0.0463025
7800,1.88873,0.307898,0.307898,0.0397183
7900,1.88519,0.303522,0.303522,0.0340681
8000,1.88161,0.302143,0.302143,0.0298264
8100,1.88011,0.297647,0.297647,0.0261691
8200,1.87846,0.295396,0.295396,0.0234318
8300,1.87726,0.293481,0.293481,0.0213117
8400,1.87561,0.291706,0.291706,0.0188065
8500,1.87645,0.287411,0.287411,0.0175759
8600,1.87459,0.287859,0.287859,0.0159269
8700,1.87389,0.286299,0.286299,0.0144826
8800,1.87346,0.285161,0.285161,0.0135024
8900,1.87286,0.284622,0.284622,0.0126388
9000,1.87215,0.283623,0.283623,0.0114465
9100,1.87186,0.2827,0.2827,0.0107074
9200,1.87117,0.282633,0.282633,0.0099947
9300,1.87104,0.281832,0.281832,0.00947278
9400,1.87123,0.280088,0.280088,0.00882551
9500,1.87064,0.280276,0.280276,0.00831807
9600,1.8695,0.281518,0.281518,0.00778745
9700,1.86942,0.280892,0.280892,0.00739753
9800,1.86909,0.280671,0.280671,0.00696282
9900,1.86909,0.2798,0.2798,0.00654338
