batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25785,0.499921,0.499921,0.499996
100,2.25783,0.499953,0.499953,0.499999
200,2.25772,0.500142,0.500142,0.499978
300,2.25752,0.500409,0.500409,0.499903
400,2.2579,0.499885,0.499885,0.500033
500,2.25766,0.500229,0.500229,0.499956
600,2.25813,0.499386,0.499386,0.500031
700,2.25799,0.499503,0.499503,0.499946
800,2.25776,0.500184,0.500184,0.500032
900,2.25763,0.500566,0.500566,0.500078
1000,2.25772,0.500186,0.500186,0.499991
1100,2.25798,0.499644,0.499644,0.500002
1200,2.25783,0.499965,0.499965,0.500003
1300,2.25782,0.499983,0.499983,0.500003
1400,2.25774,0.500105,0.500105,0.499977
1500,2.25776,0.500096,0.500096,0.499992
1600,2.25803,0.499633,0.499633,0.500044
1700,2.2579,0.499869,0.499869,0.500021
1800,2.25792,0.499742,0.499742,0.499991
1900,2.25785,0.499943,0.499943,0.500009
2000,2.25766,0.50023,0.50023,0.499959
2100,2.25774,0.500114,0.500114,0.499977
2200,2.25727,0.500371,0.500371,0.49963
2300,2.25634,0.499607,0.499607,0.498347
2400,2.25612,0.496635,0.496635,0.496734
2500,2.25482,0.494514,0.494514,0.494432
2600,2.25439,0.490658,0.490658,0.492195
2700,2.25327,0.487235,0.487235,0.489465
2800,2.25189,0.483898,0.483898,0.486522
2900,2.24934,0.482455,0.482455,0.48329
3000,2.24808,0.477141,0.477141,0.479541
3100,2.24615,0.473435,0.473435,0.475861
3200,2.2436,0.469383,0.469383,0.471408
3300,2.23997,0.465147,0.465147,0.465782
3400,2.2344,0.461587,0.461587,0.458538
3500,2.22603,0.455402,0.455402,0.447252
3600,2.21428,0.449493,0.449493,0.432708
3700,2.20098,0.442813,0.442813,0.416264
3800,2.1861,0.434605,0.434605,0.397496
3900,2.16798,0.427141,0.427141,0.375853
4000,2.1517,0.417912,0.417912,0.355202
4100,2.13244,0.410026,0.410026,0.332198
4200,2.11539,0.399327,0.399327,0.310067
4300,2.09767,0.391754,0.391754,0.288748
4400,2.08236,0.382987,0.382987,0.269265
4500,2.06719,0.375594,0.375594,0.250583
4600,2.0505,0.366305,0.366305,0.229458
4700,2.03399,0.357588,0.357588,0.208783
4800,2.01874,0.348576,0.348576,0.18923
4900,2.00578,0.341408,0.341408,0.172845
5000,1.99336,0.337026,0.337026,0.158323
5100,1.98094,0.331766,0.331766,0.143382
5200,1.96736,0.326727,0.326727,0.127384
5300,1.95578,0.323507,0.323507,0.114268
5400,1.94603,0.318834,0.318834,0.102268
5500,1.93605,0.314606,0.314606,0.0902569
5600,1.93097,0.310414,0.310414,0.0831667
5700,1.92626,0.305237,0.305237,0.0759668
5800,1.91931,0.303314,0.303314,0.0680872
5900,1.91324,0.299625,0.299625,0.0602476
6000,1.90487,0.297574,0.297574,0.0508882
6100,1.89931,0.295518,0.295518,0.0443369
6200,1.8927,0.294042,0.294042,0.0370198
6300,1.8884,0.293559,0.293559,0.0324835
6400,1.88414,0.291371,0.291371,0.0271684
6500,1.88202,0.288463,0.288463,0.0236479
6600,1.87852,0.290367,0.290367,0.0210639
6700,1.87543,0.289642,0.289642,0.0176304
6800,1.87561,0.286128,0.286128,0.016113
6900,1.87235,0.289111,0.289111,0.0142979
7000,1.87158,0.28779,0.28779,0.0128846
7100,1.8703,0.288071,0.288071,0.0117422
7200,1.86916,0.286709,0.286709,0.00994255
7300,1.86849,0.286378,0.286378,0.00911404
7400,1.86738,0.287429,0.287429,0.00851092
7500,1.8661,0.288503,0.288503,0.00775482
7600,1.86552,0.288364,0.288364,0.00709865
7700,1.86563,0.286749,0.286749,0.0064381
7800,1.86388,0.28946,0.28946,0.00599237
7900,1.86443,0.287382,0.287382,0.00553488
8000,1.86214,0.290984,0.290984,0.00498345
8100,1.86269,0.289834,0.289834,0.00497894
8200,1.86256,0.288921,0.288921,0.00440873
8300,1.8621,0.289372,0.289372,0.00416782
8400,1.86098,0.291697,0.291697,0.00416558
8500,1.86181,0.289023,0.289023,0.00371141
8600,1.86137,0.289488,0.289488,0.00349029
8700,1.86028,0.291346,0.291346,0.00329866
8800,1.86044,0.290592,0.290592,0.00309315
8900,1.85994,0.291397,0.291397,0.00298362
9000,1.85991,0.291334,0.291334,0.0029285
9100,1.85968,0.291319,0.291319,0.00268467
9200,1.85957,0.291261,0.291261,0.00255148
9300,1.85979,0.290521,0.290521,0.00241354
9400,1.85802,0.293778,0.293778,0.00220897
9500,1.85868,0.292285,0.292285,0.00215696
9600,1.8589,0.29156,0.29156,0.0020244
9700,1.85802,0.293343,0.293343,0.00199847
9800,1.8579,0.2935,0.2935,0.001955
9900,1.85753,0.293999,0.293999,0.00182507
