batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25774,0.500047,0.500047,0.499953,6
100,2.2575,0.500221,0.500221,0.499789,6
200,2.25809,0.499802,0.499802,0.500182,6
300,2.25482,0.499342,0.499342,0.496699,6
400,2.24166,0.493423,0.493423,0.48076,6
500,2.21849,0.481347,0.481347,0.451924,6
600,2.19027,0.465415,0.465415,0.416207,6
700,2.16504,0.446531,0.446531,0.382072,6
800,2.13408,0.424725,0.424725,0.340802,6
900,2.1105,0.409559,0.409559,0.310036,6
1000,2.10127,0.39514,0.39514,0.293965,6
1100,2.09416,0.386491,0.386491,0.282739,6
1200,2.0914,0.379119,0.379119,0.276471,6
1300,2.08717,0.376382,0.376382,0.270938,6
1400,2.08587,0.373718,0.373718,0.268369,6
1500,2.08181,0.370841,0.370841,0.262931,6
1600,2.0765,0.370431,0.370431,0.257427,6
1700,2.07627,0.369509,0.369509,0.256754,6
1800,2.0737,0.369861,0.369861,0.254356,6
1900,2.0751,0.36798,0.36798,0.254862,6
2000,2.07542,0.366828,0.366828,0.254631,6
2100,2.07703,0.365399,0.365399,0.255558,6
2200,2.07483,0.366204,0.366204,0.253745,6
2300,2.0737,0.366998,0.366998,0.25299,6
2400,2.07313,0.367271,0.367271,0.252549,6
2500,2.07077,0.368541,0.368541,0.250801,6
2600,2.07256,0.366741,0.366741,0.251726,6
2700,2.07312,0.366874,0.366874,0.252356,6
2800,2.07244,0.366811,0.366811,0.251643,6
2900,2.07321,0.365934,0.365934,0.251996,6
3000,2.07427,0.364959,0.364959,0.252583,6
3100,2.0745,0.364916,0.364916,0.252794,6
3200,2.07209,0.366361,0.366361,0.251077,6
3300,2.07117,0.366906,0.366906,0.250411,6
3400,2.07295,0.366041,0.366041,0.251781,6
3500,2.06986,0.368015,0.368015,0.249636,6
3600,2.07157,0.366929,0.366929,0.250828,6
3700,2.07152,0.366553,0.366553,0.250601,6
3800,2.0732,0.365209,0.365209,0.251635,6
3900,2.07181,0.366542,0.366542,0.250879,6
4000,2.07493,0.363947,0.363947,0.252763,6
4100,2.07204,0.366448,0.366448,0.251069,6
4200,2.07268,0.365257,0.365257,0.251138,6
4300,2.07369,0.365254,0.365254,0.252147,6
4400,2.07264,0.365688,0.365688,0.251307,6
4500,2.07359,0.364738,0.364738,0.251806,6
4600,2.07386,0.364611,0.364611,0.252011,6
4700,2.07123,0.366014,0.366014,0.250046,6
4800,2.07614,0.363586,0.363586,0.253806,6
4900,2.07332,0.365036,0.365036,0.251679,6
5000,2.07383,0.364663,0.364663,0.252004,6
5100,2.07137,0.366658,0.366658,0.250497,6
5200,2.07265,0.365414,0.365414,0.251184,6
5300,2.07179,0.366198,0.366198,0.250698,6
5400,2.07179,0.366002,0.366002,0.250608,6
5500,2.07381,0.364561,0.364561,0.251941,6
5600,2.07003,0.367243,0.367243,0.24944,6
5700,2.07478,0.364142,0.364142,0.252706,6
5800,2.07178,0.365678,0.365678,0.250438,6
5900,2.07,0.367648,0.367648,0.249599,6
6000,2.07118,0.36598,0.36598,0.249988,6
6100,2.06931,0.367551,0.367551,0.248861,6
6200,2.07077,0.366603,0.366603,0.249871,6
6300,2.07322,0.364929,0.364929,0.251522,6
6400,2.07294,0.365217,0.365217,0.25138,6
6500,2.07053,0.36698,0.36698,0.249811,6
6600,2.06913,0.367306,0.367306,0.24857,6
6700,2.07407,0.364466,0.364466,0.252147,6
6800,2.07162,0.366286,0.366286,0.250573,6
6900,2.06987,0.366787,0.366787,0.249059,6
7000,2.06939,0.367619,0.367619,0.248974,6
7100,2.07166,0.365928,0.365928,0.250438,6
7200,2.07102,0.366365,0.366365,0.25001,6
7300,2.06968,0.367252,0.367252,0.249086,6
7400,2.06983,0.367101,0.367101,0.24917,6
7500,2.07161,0.365875,0.365875,0.250361,6
7600,2.07215,0.366083,0.366083,0.251004,6
7700,2.07126,0.366705,0.366705,0.250409,6
7800,2.07125,0.366584,0.366584,0.250342,6
7900,2.06919,0.367894,0.367894,0.248908,6
8000,2.06914,0.367898,0.367898,0.248857,6
8100,2.07106,0.366015,0.366015,0.249881,6
8200,2.07146,0.366419,0.366419,0.250471,6
8300,2.0716,0.366004,0.366004,0.25042,6
8400,2.07136,0.366321,0.366321,0.250323,6
8500,2.07059,0.366773,0.366773,0.249776,6
8600,2.07082,0.36635,0.36635,0.249802,6
8700,2.07088,0.366364,0.366364,0.249866,6
8800,2.07186,0.365754,0.365754,0.250556,6
8900,2.07217,0.365484,0.365484,0.250742,6
9000,2.06995,0.367153,0.367153,0.249311,6
9100,2.06946,0.367484,0.367484,0.248987,6
9200,2.06904,0.367757,0.367757,0.248693,6
9300,2.0702,0.366784,0.366784,0.249384,6
9400,2.06907,0.368121,0.368121,0.2489,6
9500,2.07074,0.366829,0.366829,0.249949,6
9600,2.07165,0.366383,0.366383,0.250648,6
9700,2.07234,0.365415,0.365415,0.250874,6
9800,2.07174,0.365604,0.365604,0.250367,6
9900,2.0723,0.365511,0.365511,0.250883,6
