batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25796,0.500021,0.500021,0.500161,6
100,2.25802,0.500035,0.500035,0.500222,6
200,2.25827,0.499994,0.499994,0.500451,6
300,2.25714,0.500012,0.500012,0.499331,6
400,2.25299,0.498575,0.498575,0.494504,6
500,2.23996,0.492853,0.492853,0.478792,6
600,2.21772,0.481429,0.481429,0.451196,6
700,2.18736,0.463087,0.463087,0.412199,6
800,2.15217,0.437893,0.437893,0.365127,6
900,2.116,0.406518,0.406518,0.314095,6
1000,2.08526,0.371617,0.371617,0.266756,6
1100,2.05889,0.33609,0.33609,0.223406,6
1200,2.03843,0.301361,0.301361,0.186273,6
1300,2.025,0.268827,0.268827,0.157153,6
1400,2.0139,0.240399,0.240399,0.132294,6
1500,2.00607,0.21462,0.21462,0.111942,6
1600,2.00008,0.192411,0.192411,0.0951263,6
1700,1.99645,0.172922,0.172922,0.0819814,6
1800,1.99339,0.156119,0.156119,0.0706862,6
1900,1.99133,0.141588,0.141588,0.0615003,6
2000,1.99005,0.129057,0.129057,0.0540577,6
2100,1.98854,0.118282,0.118282,0.0472411,6
2200,1.98733,0.109172,0.109172,0.0415441,6
2300,1.98701,0.100879,0.100879,0.0371281,6
2400,1.98631,0.0939137,0.0939137,0.0329922,6
2500,1.98591,0.0878387,0.0878387,0.0295878,6
2600,1.98533,0.0826212,0.0826212,0.0264253,6
2700,1.98488,0.0780425,0.0780425,0.0237118,6
2800,1.98481,0.0739316,0.0739316,0.0216099,6
2900,1.9844,0.0704953,0.0704953,0.0194939,6
3000,1.9841,0.0674694,0.0674694,0.0176948,6
3100,1.98389,0.0647853,0.0647853,0.0161514,6
3200,1.98375,0.0624007,0.0624007,0.014832,6
3300,1.98353,0.0603825,0.0603825,0.0136049,6
3400,1.98312,0.0587093,0.0587093,0.0123636,6
3500,1.98302,0.057075,0.057075,0.0114578,6
3600,1.98273,0.0557585,0.0557585,0.0105099,6
3700,1.9825,0.0545752,0.0545752,0.00969833,6
3800,1.98249,0.0533783,0.0533783,0.0090878,6
3900,1.98229,0.0524531,0.0524531,0.0084286,6
4000,1.98215,0.0515878,0.0515878,0.00785584,6
4100,1.98202,0.0508083,0.0508083,0.00734836,6
4200,1.98181,0.0502034,0.0502034,0.00683028,6
4300,1.98175,0.0495439,0.0495439,0.00644451,6
4400,1.98162,0.0489995,0.0489995,0.00604086,6
4500,1.98152,0.0485156,0.0485156,0.00569969,6
4600,1.98132,0.0481652,0.0481652,0.00532764,6
4700,1.98128,0.047709,0.047709,0.00505855,6
4800,1.9811,0.0474321,0.0474321,0.00474432,6
4900,1.981,0.0471132,0.0471132,0.00448981,6
5000,1.98097,0.0467604,0.0467604,0.00427825,6
5100,1.98079,0.0465864,0.0465864,0.00401724,6
5200,1.98074,0.046324,0.046324,0.00383089,6
5300,1.98064,0.0461186,0.0461186,0.00363029,6
5400,1.9805,0.0459937,0.0459937,0.00343075,6
5500,1.98046,0.0457743,0.0457743,0.00328144,6
5600,1.9804,0.0455893,0.0455893,0.0031285,6
5700,1.98033,0.0454469,0.0454469,0.00298901,6
5800,1.98029,0.0452811,0.0452811,0.00286315,6
5900,1.98019,0.0451797,0.0451797,0.0027208,6
6000,1.98011,0.0451014,0.0451014,0.00259476,6
6100,1.98008,0.04495,0.04495,0.00249654,6
6200,1.98002,0.0448557,0.0448557,0.00238444,6
6300,1.97998,0.0447457,0.0447457,0.00229278,6
6400,1.9799,0.0446982,0.0446982,0.00218544,6
6500,1.97987,0.0445846,0.0445846,0.00210194,6
6600,1.97976,0.0445997,0.0445997,0.00199847,6
6700,1.97972,0.0445164,0.0445164,0.00191978,6
6800,1.97967,0.0444691,0.0444691,0.00184041,6
6900,1.97961,0.0444353,0.0444353,0.00176366,6
7000,1.97957,0.0443736,0.0443736,0.0016992,6
7100,1.97956,0.044281,0.044281,0.00163451,6
7200,1.97954,0.0442074,0.0442074,0.00158354,6
7300,1.97946,0.0442215,0.0442215,0.00151271,6
7400,1.97946,0.0441326,0.0441326,0.0014606,6
7500,1.97936,0.0441891,0.0441891,0.00139368,6
7600,1.97934,0.0441426,0.0441426,0.00134645,6
7700,1.97936,0.044013,0.044013,0.001309,6
7800,1.97928,0.0440647,0.0440647,0.00125163,6
7900,1.9792,0.0441152,0.0441152,0.00119566,6
8000,1.97923,0.0439945,0.0439945,0.0011642,6
8100,1.9792,0.0439705,0.0439705,0.00112575,6
8200,1.97916,0.0439683,0.0439683,0.00108204,6
8300,1.97916,0.0439049,0.0439049,0.0010485,6
8400,1.97906,0.0439967,0.0439967,0.000999099,6
8500,1.97904,0.0439635,0.0439635,0.000966668,6
8600,1.97902,0.0439441,0.0439441,0.000931054,6
8700,1.97902,0.0438913,0.0438913,0.000905428,6
8800,1.97897,0.0439204,0.0439204,0.000868683,6
8900,1.97896,0.0438828,0.0438828,0.00084028,6
9000,1.97895,0.0438486,0.0438486,0.000814516,6
9100,1.97888,0.0439302,0.0439302,0.000779998,6
9200,1.97887,0.0438804,0.0438804,0.000754241,6
9300,1.97886,0.0438552,0.0438552,0.000731468,6
9400,1.97885,0.0438337,0.0438337,0.000707712,6
9500,1.97886,0.0437723,0.0437723,0.000686369,6
9600,1.97882,0.0438064,0.0438064,0.000662185,6
9700,1.97875,0.0438835,0.0438835,0.000632111,6
9800,1.97879,0.0437758,0.0437758,0.000619407,6
9900,1.97873,0.0438415,0.0438415,0.000594926,6
