batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25781,0.50001,0.50001,0.499998
100,2.25784,0.499981,0.499981,0.500014
200,2.25781,0.500005,0.500005,0.499996
300,2.25782,0.499995,0.499995,0.500004
400,2.25788,0.499913,0.499913,0.500025
500,2.2562,0.498861,0.498861,0.497853
600,2.24724,0.491726,0.491726,0.485548
700,2.22497,0.476644,0.476644,0.456191
800,2.19772,0.454744,0.454744,0.418625
900,2.17082,0.428819,0.428819,0.379487
1000,2.14942,0.400527,0.400527,0.344667
1100,2.13302,0.370515,0.370515,0.313991
1200,2.11938,0.340331,0.340331,0.285928
1300,2.107,0.312591,0.312591,0.260237
1400,2.0965,0.286279,0.286279,0.237078
1500,2.08669,0.260788,0.260788,0.214957
1600,2.07987,0.237411,0.237411,0.196813
1700,2.07238,0.21617,0.21617,0.179
1800,2.06611,0.196237,0.196237,0.163029
1900,2.0606,0.179683,0.179683,0.149431
2000,2.05575,0.163106,0.163106,0.136476
2100,2.05038,0.148787,0.148787,0.124084
2200,2.04654,0.136139,0.136139,0.11403
2300,2.04283,0.124747,0.124747,0.104714
