batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25782,0.499958,0.499958,0.49999,3
100,2.25785,0.499753,0.499753,0.499925,3
200,2.25799,0.499514,0.499514,0.49995,3
300,2.25786,0.499842,0.499842,0.499971,3
400,2.25773,0.500299,0.500299,0.500056,3
500,2.25261,0.497508,0.497508,0.493628,3
600,2.22821,0.488304,0.488304,0.46491,3
700,2.19823,0.471425,0.471425,0.426996,3
800,2.16975,0.456991,0.456991,0.391718,3
900,2.14077,0.442715,0.442715,0.356006,3
1000,2.11216,0.432306,0.432306,0.322473,3
1100,2.08117,0.421599,0.421599,0.286413,3
1200,2.02081,0.398654,0.398654,0.215175,3
1300,1.9819,0.385522,0.385522,0.170018,3
1400,1.96231,0.37166,0.37166,0.143821,3
1500,1.94664,0.365933,0.365933,0.125427,3
1600,1.93655,0.355035,0.355035,0.110128,3
1700,1.92893,0.348142,0.348142,0.0992175,3
1800,1.92292,0.341152,0.341152,0.0898613,3
1900,1.91973,0.330291,0.330291,0.0814693,3
2000,1.91751,0.321767,0.321767,0.0751556,3
2100,1.91695,0.311231,0.311231,0.0695397,3
2200,1.90703,0.306417,0.306417,0.0573079,3
2300,1.9043,0.299582,0.299582,0.051284,3
2400,1.90056,0.296384,0.296384,0.0460078,3
2500,1.9004,0.291083,0.291083,0.0432943,3
2600,1.89937,0.288178,0.288178,0.0408664,3
2700,1.89888,0.284312,0.284312,0.0385065,3
2800,1.89883,0.278897,0.278897,0.0358491,3
2900,1.89885,0.277067,0.277067,0.0349876,3
3000,1.89768,0.275033,0.275033,0.032836,3
3100,1.89688,0.273983,0.273983,0.0315223,3
3200,1.8971,0.270437,0.270437,0.0300341,3
3300,1.89656,0.270148,0.270148,0.0293488,3
3400,1.89563,0.269675,0.269675,0.0281931,3
3500,1.89538,0.268678,0.268678,0.0274666,3
3600,1.89556,0.266133,0.266133,0.0264174,3
3700,1.8945,0.26609,0.26609,0.0253302,3
3800,1.89469,0.266644,0.266644,0.0257911,3
3900,1.89423,0.26481,0.26481,0.0244387,3
4000,1.89564,0.262802,0.262802,0.0248832,3
4100,1.8939,0.263923,0.263923,0.0236818,3
4200,1.89385,0.263502,0.263502,0.0234272,3
4300,1.8942,0.263237,0.263237,0.0236496,3
4400,1.89367,0.263162,0.263162,0.0230841,3
4500,1.894,0.260643,0.260643,0.0222001,3
4600,1.89349,0.261147,0.261147,0.0219276,3
4700,1.89356,0.26173,0.26173,0.0222823,3
4800,1.89324,0.261698,0.261698,0.0219439,3
4900,1.89244,0.261589,0.261589,0.0210993,3
5000,1.89276,0.261856,0.261856,0.0215404,3
5100,1.89348,0.26002,0.26002,0.0213752,3
5200,1.89174,0.261085,0.261085,0.0201516,3
5300,1.89217,0.258069,0.258069,0.0191263,3
5400,1.89159,0.26102,0.26102,0.0199755,3
5500,1.8923,0.258775,0.258775,0.0195931,3
5600,1.89329,0.257853,0.257853,0.0201434,3
5700,1.89105,0.259583,0.259583,0.0187347,3
5800,1.89156,0.259385,0.259385,0.0191498,3
5900,1.89288,0.258005,0.258005,0.0198037,3
6000,1.89192,0.259234,0.259234,0.0194364,3
6100,1.89224,0.25975,0.25975,0.0200107,3
6200,1.89089,0.258373,0.258373,0.0179929,3
6300,1.89102,0.259761,0.259761,0.018788,3
6400,1.89053,0.25922,0.25922,0.0180417,3
6500,1.89133,0.258956,0.258956,0.0187159,3
6600,1.89124,0.258327,0.258327,0.0183155,3
6700,1.89038,0.260239,0.260239,0.0183833,3
6800,1.89013,0.260031,0.260031,0.01803,3
6900,1.89232,0.25765,0.25765,0.0190694,3
7000,1.88981,0.259421,0.259421,0.0174151,3
7100,1.89072,0.259683,0.259683,0.0184573,3
7200,1.89034,0.258618,0.258618,0.0175583,3
7300,1.89017,0.259387,0.259387,0.0177614,3
7400,1.88939,0.259294,0.259294,0.0169411,3
7500,1.89044,0.258601,0.258601,0.0176539,3
7600,1.88996,0.258295,0.258295,0.017021,3
7700,1.88974,0.258744,0.258744,0.0170222,3
7800,1.89071,0.259006,0.259006,0.0181132,3
7900,1.89113,0.258463,0.258463,0.0182769,3
8000,1.89032,0.257754,0.257754,0.0171206,3
8100,1.8896,0.258846,0.258846,0.0169325,3
8200,1.89046,0.258119,0.258119,0.017436,3
8300,1.88832,0.260602,0.260602,0.0164997,3
8400,1.89042,0.257866,0.257866,0.0172707,3
8500,1.88998,0.258351,0.258351,0.017073,3
8600,1.88908,0.25954,0.25954,0.0167425,3
8700,1.88921,0.259109,0.259109,0.0166659,3
8800,1.88956,0.260171,0.260171,0.0175264,3
8900,1.88902,0.260034,0.260034,0.0169216,3
9000,1.89068,0.256998,0.256998,0.0171116,3
9100,1.88906,0.258501,0.258501,0.0162261,3
9200,1.88828,0.259423,0.259423,0.0158875,3
9300,1.88836,0.260201,0.260201,0.0163437,3
9400,1.88991,0.258804,0.258804,0.0172156,3
9500,1.88896,0.259781,0.259781,0.0167463,3
9600,1.89041,0.25755,0.25755,0.0171149,3
9700,1.88824,0.259575,0.259575,0.0159186,3
9800,1.88927,0.258596,0.258596,0.016481,3
9900,1.88991,0.258346,0.258346,0.0169985,3
