batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25755,0.50021,0.50021,0.499834
100,2.2579,0.499936,0.499936,0.500059
200,2.25802,0.499851,0.499851,0.50014
300,2.25724,0.500444,0.500444,0.499635
400,2.25792,0.499917,0.499917,0.500067
500,2.25764,0.500121,0.500121,0.499886
600,2.25798,0.499823,0.499823,0.500086
700,2.25758,0.49937,0.49937,0.499476
800,2.25342,0.498749,0.498749,0.495017
900,2.24993,0.494361,0.494361,0.489473
1000,2.24055,0.491827,0.491827,0.478909
1100,2.23193,0.486444,0.486444,0.467753
1200,2.22575,0.477593,0.477593,0.457414
1300,2.21316,0.472963,0.472963,0.44265
1400,2.20512,0.465149,0.465149,0.430931
1500,2.18919,0.462262,0.462262,0.413641
1600,2.18208,0.453712,0.453712,0.402503
1700,2.16999,0.447992,0.447992,0.387718
1800,2.15845,0.441879,0.441879,0.37329
1900,2.1465,0.437214,0.437214,0.359131
2000,2.13497,0.429174,0.429174,0.343797
2100,2.12219,0.422789,0.422789,0.327999
2200,2.11197,0.415858,0.415858,0.314493
2300,2.10273,0.407484,0.407484,0.301288
2400,2.09401,0.398066,0.398066,0.288089
2500,2.08398,0.391074,0.391074,0.274734
2600,2.07672,0.382189,0.382189,0.263249
2700,2.06557,0.376472,0.376472,0.249373
2800,2.05849,0.368495,0.368495,0.238494
2900,2.05216,0.360561,0.360561,0.228373
3000,2.04839,0.351933,0.351933,0.22049
3100,2.04199,0.345954,0.345954,0.211222
3200,2.0341,0.339971,0.339971,0.20047
3300,2.03099,0.331268,0.331268,0.193199
3400,2.02571,0.328117,0.328117,0.186402
3500,2.02063,0.320054,0.320054,0.17746
3600,2.01776,0.316282,0.316282,0.172774
3700,2.0154,0.312722,0.312722,0.1687
3800,2.01306,0.307565,0.307565,0.163885
3900,2.00916,0.302327,0.302327,0.157463
4000,2.00626,0.30039,0.30039,0.153631
4100,2.00517,0.299009,0.299009,0.15188
4200,2.00373,0.296598,0.296598,0.149285
4300,2.00367,0.295483,0.295483,0.148688
4400,2.0013,0.29312,0.29312,0.145175
4500,1.99929,0.290146,0.290146,0.141735
4600,1.99924,0.288873,0.288873,0.141066
4700,1.99795,0.286822,0.286822,0.138786
4800,1.99793,0.287144,0.287144,0.138925
4900,1.99714,0.286854,0.286854,0.137995
5000,1.99743,0.285363,0.285363,0.137563
5100,1.99659,0.284723,0.284723,0.136419
5200,1.99493,0.282099,0.282099,0.133489
5300,1.99458,0.281459,0.281459,0.132833
5400,1.99537,0.282415,0.282415,0.134086
5500,1.9947,0.282236,0.282236,0.133325
5600,1.99383,0.281428,0.281428,0.132068
5700,1.99498,0.282762,0.282762,0.133858
5800,1.99282,0.280533,0.280533,0.130628
5900,1.99393,0.28171,0.28171,0.132309
6000,1.99227,0.28069,0.28069,0.130152
6100,1.99393,0.280537,0.280537,0.131741
6200,1.99341,0.281734,0.281734,0.131796
6300,1.99299,0.279351,0.279351,0.130229
6400,1.992,0.278377,0.278377,0.128769
6500,1.99202,0.279276,0.279276,0.129222
6600,1.99352,0.279276,0.279276,0.130716
